Length	Lowest Frequency	Highest Frequency	Average Frequency	Frequency Band	Impulse Count	Average Impulse Length	Average Impulse Frequency Band	Common Impulse Direction
6.8	8048.87	8515.04	8338.55	466.17	28.0	0.03928571428571428	-65.11785714285715	-1
1.6	8312.03	8447.37	8359.96	135.34	4.0	0.05	-33.835	0
3.8	8518.8	8518.8	8484.97	0.0	2.0	0.1	-67.67	0
0.1	8511.28	8383.46	8413.53	127.82	3.0	0.0	-200.50333333333333	-1
6.6	8244.36	8518.8	8356.07	274.44	14.0	0.05	-25.24142857142857	0
6.0	8447.37	8563.91	8486.84	116.54	5.0	0.12	-2.256	-1
5.5	8244.36	8578.95	8418.7	334.59	12.0	0.075	13.470833333333333	0
2.0	8296.99	8379.7	8311.4	82.71	3.0	0.03333333333333333	-81.45333333333333	-1
4.1	8255.64	8590.22	8401.88	334.58	10.0	0.02	15.788999999999998	0
6.5	8022.56	8661.65	8386.51	639.09	16.0	0.062499999999999986	-27.25625	0
2.9	8368.42	8507.52	8377.82	139.1	2.0	0.0	0.0	1
0.9	8398.5	8518.8	8438.91	120.3	2.0	0.0	-31.955000000000005	1
6.4	4045.11	8394.74	7663.67	4349.63	14.0	0.021428571428571432	-83.51214285714283	-1
5.0	8323.31	8398.5	8369.74	75.19	10.0	0.05	-37.218	0
1.9	8436.09	8518.8	8447.37	82.71	2.0	0.05	-60.15	0
2.3	8443.61	8394.74	8406.02	48.87	3.0	0.0	-167.92	-1
6.0	8368.42	8383.46	8366.03	15.04	11.0	0.045454545454545456	-35.54363636363637	0
5.8	8248.12	8590.22	8365.08	342.1	18.0	0.03333333333333333	-92.73333333333332	-1
5.4	7894.74	8515.04	8385.1	620.3	8.0	0.037500000000000006	-94.45375	-1
0.1	8436.09	8578.95	8447.37	142.86	2.0	0.0	7.519999999999996	1
0.1	8379.7	8379.7	8379.7	0.0	1.0	0.1	0.0	0
3.7	8248.12	8515.04	8367.75	266.92	14.0	0.05	6.1764285714285725	0
4.3	7612.78	8387.22	7888.22	774.44	15.0	0.02666666666666667	-68.67200000000001	-1
1.6	8233.08	8383.46	8329.88	150.38	4.0	0.0	-163.53	-1
6.4	8312.03	8522.56	8429.42	210.53	40.0	0.040000000000000015	-76.12750000000003	-1
0.1	1812.03	1812.03	1813.91	0.0	2.0	0.05	-63.91	0
0.8	4887.22	4958.65	4912.28	71.43	3.0	0.20000000000000004	-42.606666666666655	0
0.3	4537.59	4676.69	4607.14	139.1	2.0	0.05	0.0	0
1.0	4469.92	5097.74	4725.56	627.82	3.0	0.2	0.0	0
1.2	4819.55	5097.74	4958.65	278.19	2.0	0.25	0.0	0
2.9	4469.92	5097.74	4796.36	627.82	6.0	0.13333333333333333	20.05	0
3.0	4469.92	4883.46	4776.69	413.54	10.0	0.09	0.0	0
0.8	4676.69	5101.5	4958.64	424.81	4.0	0.05	-33.8325	0
6.0	8109.02	8518.8	8334.59	409.78	7.0	0.014285714285714287	-45.11285714285715	-1
6.2	5097.74	8518.8	8155.75	3421.06	14.0	0.03571428571428571	-76.26142857142858	-1
6.0	8240.6	8518.8	8356.67	278.2	4.0	0.025	-175.75	-1
0.8	4541.35	8518.8	5674.81	3977.45	4.0	0.1	33.835	0
