Total MaxAmp	Split MaxAmp 1	Split MaxAmp 2	Split MaxAmp 3	Split MaxAmp 4	SCO	Centroid	Spread	Flatness	Flag
59509.79849329684	14278.28316281148	35080.32977177793	43710.5223051583	11901.186402766987	4098.793784218479	2272.2039154443723	2334268.870063981	0.004217892329183467	1.0
119671.99014511157	41038.11496126555	59803.14393698178	74801.27516483025	42325.7355942343	3297.059400486724	2236.5429587618105	3324602.2000778173	0.0034704863742159135	1.0
51954.28162547695	5750.844624183878	23449.35054906695	40105.74932738732	25080.50798027116	4649.874168837922	2640.622495980794	1787835.6003182759	0.003840314611034888	1.0
51982.97378125527	3769.7116550559304	34492.98808755459	39123.276080774864	4673.387800795012	4493.3207225251335	2669.84679593678	2053052.1294989004	0.004414278801993313	1.0
75138.66312426279	11909.941917603304	23061.202287157557	59289.14607228938	35269.74605679124	3917.8249668474687	2550.0497664791533	2252243.416629779	0.0037499670309828334	1.0
59670.91252170698	17747.9850103476	27341.506347063812	38107.73942623927	33467.960694259746	3274.2733479432977	2162.1801503341676	2961201.6343793646	0.00466119257576497	1.0
41921.08622532102	8944.017796199716	16933.550383540718	31638.057873206446	11623.541666436573	1895.9964732365765	3095.061383969651	3213899.3347979295	0.006381636215896506	1.0
87880.72576797508	17233.224056378058	45699.58723153025	61563.50454594137	19124.459034016465	2537.8175633642563	2762.5559242311765	2691632.761429562	0.00404318433483504	1.0
113391.81913229845	33537.451486412276	51585.47681790642	73162.99852063255	40499.54030373297	3244.1075083545074	2627.648132921683	3585203.1158536286	0.00376227763391554	1.0
102962.81552885308	33228.286397116215	48854.05054673517	60606.11635546109	44783.13433518915	2727.1575233983135	2554.5234651811775	3618580.627502721	0.00409280396199856	1.0
91703.79462337858	34909.547405666046	53873.38461219926	54464.25262142728	24169.085646719494	3112.095168157476	2476.119657323436	3222273.6378737497	0.003994133688586548	1.0
74804.46177574847	25815.80058235219	47374.59234617741	43021.65200205323	23050.6738565037	2771.77230493837	2478.329224454641	4044401.0211197534	0.004629361823368967	1.0
